id,party
V1,R
V2,R
V3,D
V4,R
V5,D
V6,D
V7,D
V8,D
V9,R
V10,R
V11,D
V12,D
V13,R
V14,D
V15,D
V16,D
V17,D
V18,R
V19,R
V20,R
V21,R
V22,R
V23,R
V24,D
V25,R
V26,R
V27,R
V28,R
V29,D
V30,D
V31,R
V32,D
V33,R
V34,R
V35,D
V36,D
V37,R
V38,R
V39,D
V40,D
V41,R
V42,D
V43,D
V44,R
V45,D
V46,R
V47,R
V48,R
V49,R
V50,R
V51,D
V52,D
V53,I
V54,R
V55,D
V56,D
V57,D
V58,R
V59,D
V60,D
V61,D
V62,R
V63,D
V64,R
V65,D
V66,D
V67,D
V68,R
V69,R
V70,D
V71,D
V72,D
V73,R
V74,R
V75,D
V76,D
V77,D
V78,R
V79,R
V80,D
V81,R
V82,I
V83,D
V84,D
V85,R
V86,R
V87,D
V88,R
V89,D
V90,D
V91,R
V92,R
V93,D
V94,D
V95,R
V96,D
V97,D
V98,D
V99,R
V100,D
V101,D
V102,D
V103,D
V104,R
V105,D
V106,R
V107,R
V108,R
V109,R
V110,D
V111,R
V112,D
V113,D
V114,R
V115,D
V116,D
V117,R
V118,D
V119,R
V120,D
V121,R
V122,D
V123,D
V124,D
V125,D
V126,D
V127,R
V128,D
V129,R
V130,R
V131,R
V132,R
V133,R
V134,R
V135,R
V136,R
V137,D
V138,R
V139,R
V140,D
V141,D
V142,R
V143,R
V144,D
V145,R
V146,D
V147,D
V148,D
V149,R
V150,R
V151,R
V152,D
V153,R
V154,R
V155,R
V156,D
V157,D
V158,D
V159,D
V160,D
V161,R
V162,R
V163,R
V164,D
V165,R
V166,D
V167,D
V168,D
V169,R
V170,D
V171,R
V172,D
V173,R
V174,D
V175,D
V176,R
V177,R
V178,R
V179,D
V180,D
V181,D
V182,D
V183,D
V184,R
V185,R
V186,R
V187,D
V188,R
V189,D
V190,R
V191,D
V192,D
V193,D
V194,D
V195,R
V196,D
V197,R
V198,D
V199,R
V200,R
V201,D
V202,D
V203,R
V204,R
V205,R
V206,D
V207,D
V208,R
V209,R
V210,D
V211,D
V212,D
V213,D
V214,R
V215,D
V216,R
V217,R
V218,D
V219,R
V220,D
V221,R
V222,D
V223,R
V224,R
V225,D
V226,R
V227,D
V228,R
V243,D
V244,D
V245,D
V246,D
V247,R
V248,D
V249,R
V250,D
V251,D
V252,D
V253,R
V254,D
V255,R
V256,R
V257,R
V258,R
V259,R
V260,R
V261,R
V262,R
V263,R
V264,R
V265,D
V266,D
V267,R
V268,R
V269,D
V270,D
V271,R
V272,D
V273,D
V274,R
V275,D
V276,D
V277,D
V278,D
V279,R
V280,D
V281,R
V282,R
V283,D
V284,D
V285,D
V286,R
V287,D
V288,R
V289,R
V290,D
V291,D
V292,D
V293,D
V294,D
V295,R
V296,R
V297,R
V298,R
V299,R
V300,D
V301,D
V302,D
V303,R
V304,D
V305,D
V306,R
V307,R
V308,D
V309,D
V310,R
V311,R
V312,D
V313,R
V314,D
V315,R
V316,D
V317,R
V318,D
V319,D
V320,R
V321,R
V322,D
V323,D
V324,R
V325,R
V326,D
V327,R
V328,D
V329,D
V330,R
V331,R
V332,R
V333,R
V334,D
V335,R
V336,R
V337,D
V338,D
V339,R
V340,R
V341,D
V342,R
V343,R
V344,R
V345,D
V346,R
V347,D
V348,R
V349,R
V350,D
V351,R
V352,R
V353,D
V354,R
V355,R
V356,R
V357,R
V358,D
V359,D
V360,D
V361,D
V362,D
V363,D
V364,R
V365,R
V366,R
V367,D
V368,D
V369,R
V370,R
V371,D
V372,R
V373,D
V374,D
V375,R
V376,D
V377,D
V378,D
V379,D
V380,R
V381,D
V382,D
V383,D
V384,R
V385,D
V386,R
V387,R
V388,R
V389,R
V390,R
V391,R
V392,D
V393,R
V394,R
V395,R
V396,R
V397,D
V398,D
V399,D
V400,R
V401,D
V402,D
V403,R
V404,R
V405,R
V406,R
V407,D
V408,D
V409,R
V410,D
V411,R
V412,R
V413,D
V414,D
V415,R
V416,D
V417,D
V418,R
V419,R
V420,R
V421,D
V422,D
V423,D
V424,R
V425,D
V426,R
V427,R
V428,R
V429,R
V430,R
V431,D
V432,R
V433,R
V434,R
V435,D
V436,D
V437,R
V438,D
V439,R
V440,R
V441,D
V442,R
V443,R
V444,R
V445,D
V446,D
V447,R
V448,R
V449,D
V450,R
V451,R
V452,D
V453,D
V454,D
V455,R
V456,D
V457,D
V458,D
V459,R
V460,D
V461,R
V462,R
V463,R
V464,D
V465,D
V466,R
V467,D
V468,R
V469,R
V470,R
V471,D
V472,D
V473,D
V474,R
V475,D
V476,R
V477,D
V478,D
V479,R
V480,R
V481,D
V482,D
V483,R
V484,R
V485,R
V486,R
V487,R
V488,R
V489,R
V490,R
V491,D
V492,R
V493,R
V494,R
V495,R
V496,D
V497,R
V498,D
V499,R
V500,R
V501,R
V502,R
V503,D
V504,R
V505,R
V506,D
V507,R
V508,D
V509,R
V510,D
V511,R
V512,R
V513,R
V514,R
V515,R
V516,R
V517,D
V518,D
V519,R
V520,R
V521,D
V522,R
V523,R
V524,R
V525,R
V526,R
V527,R
V528,R
V529,D
V530,R
V531,R
V532,D
V533,D
V534,D
V535,R
V536,R
V537,R
V538,D
V539,D
V540,D
V541,D
